title,url,body,date
Is­rael-Hamas deal: What makes a truce lead to last­ing peace?,https://www.aljazeera.com/news/2023/11/23/israel-hamas-deal-what-makes-a-truce-lead-to-lasting-peace,"With Israel and Hamas agreeing to a four-day pause in fighting, here’s a look at how truces from other wars played out. After six weeks of war, Israel and Hamas have agreed to atemporary trucethat would pause fighting for four days and make way for an exchange of captives and prisoners. Since October 7, when Hamas launched an attack on Israel that killed 1,200 people, Gaza has been devastated by bombardments of air and ground attacks that have left more than 14,000 Palestinians dead, mostly women and children. On Wednesday, Israel’s government agreed to a pause in fighting that could begin as soon as Friday. Israel’s Prime Minister Benjamin Netanyahu has insisted that the truce is temporary and that the war will continue after it ends. However, there are numerous examples in the past century of truces that have been instrumental in ending wars – as well as many that didn’t. Here’s a look at truces from previous conflicts, what have we learned from them, and whether the pause between Israel and Hamas can lead to lasting peace.  Even small measures of trust and goodwill on both sides allow ceasefires to develop into lasting long-term peace, said Madhav Joshi, a research professor and associate director of the Peace Accords Matrix at the University of Notre Dame’s Kroc Institute for International Peace Studies. With “a negotiated agreement between adversaries… where reforms are pursued across many different policy domains,” real peace may be the outcome, he said. Ethiopia – TPLF agreement (2022):Two years of fighting between the Ethiopian government and the Tigray People’s Liberation Front (TPLF) in the north of the country, and failed ceasefire attempts, led to the deaths of at least 100,000 people killed in the war by late 2022. But on November 2, 2022, the two sides signed the Pretoria Agreement, which halted the fighting between the Ethiopian government forces and the TPLF. Joshi told Al Jazeera that the Pretoria Agreement is an excellent example of how a pause in fighting can lead to peace. Yet what happened in Ethiopia goes far beyond what Israel and Hamas have agreed to. Their deal has no formal written text, no monitoring mechanism and includes no responsibility on either side to address the deeper root causes underlying their conflict. In Ethiopia, by contrast, both parties agreed to a permanent end to hostilities, on both sides, along with the disarmament of the TPLF and reintegration of the Tigrayan people. “While a larger peace process faces many obstacles, the agreement in Ethiopia includes a verification mechanism, a framework and commitment to address underlying political differences and matters arising out of the conflict. And in this case, that’s all that’s been necessary in finding a way towards peace,” he said. A year after the deal in Ethiopia,peace has largely held— even though much of Tigray remains devastated. Korean Armistice Agreement (1953):Technically, the Democratic People’s Republic of Korea (North Korea) and the Republic of Korea (South Korea) are still in a state of war since they never signed a peace deal after a bloody three-year war. South Korea was backed by the US in the war, and North Korea by communist China and the Soviet Union. An estimated 2 million people died, though some accounts suggest the death toll could have been as high as 5 million. Then, in July 1953, the fighting halted under an armistice agreement negotiated by the United States, United Nations and North Korea. South Korea’sthen-President Syngman Rheerefused to sign the agreement — he was insisting that his government be allowed to rule all of the Korean Peninsula. Still, the other actors involved agreed to “complete cessation of hostilities and of all acts of armed force until a final peaceful settlement is achieved”. They marked a 250km (155 miles) long and approximately 4km (2.5 miles) wide demilitarised zone between the two countries. Since then, despite frequent tensions between North and South Korea, the two have avoided a major military conflagration. Gulf War (1991):After 100,000 Iraqi troops invaded Kuwait on August 2, 1990, the UN Security Council responded with a trade embargo and sanctions on Iraq. By January 1991, the US led an air and ground war ending with an Iraqi defeat and retreat from Kuwait in February 1991, with President George Bush declaring a ceasefire. Under the terms, Iraqi President Saddam Hussein was not forced from power but was told to return land and property to Kuwait and recognise its sovereignty. Iraq was also ordered to get rid of all its nuclear, biological and chemical weapons. This deal — which was unlike what Israel and Hamas have agreed to — ended the fighting between Iraq and Kuwait, but marked the beginning of Hussein’s downfall just over a decade later in 2003.  Sudan civil war 2023 – ongoing:In April, civil war broke out between the Sudanese Armed Forces (SAF) and the paramilitary Rapid Support Forces (RSF). General Abdel Fattah al-Burhan, the leader of the SAF, and his former deputy, the RSF’s General Mohamed Hamdan Dagalo, had once worked side by side in launching a military coup in 2021 after toppling the country’s longtime President Omar al-Bashir. But, both parties wanted to fill the power vacuum and lead the country. TheUS and Saudi Arabia have been mediatingbetween them for much of the year, but multiple ceasefire agreements to stop the fighting have failed, and violence has instead escalated across Sudan. In this case, both parties didn’t “refrain from seeking military advantage during the ceasefire”, as had been agreed by the terms of the agreements, and the war continues on today. Syrian Civil War, 2011 – ongoing:After Syrian pro-democracy activists led protests against PresidentBashar al-Assadin 2011, the Syrian regimeresponded by killing hundreds of demonstrators and imprisoning many more. Syria slid into war. Since then at least 230,224 civilians have died in the conflict and 140 ceasefire attempts have failed. Proposed internationally mediated ceasefires, with the UN, US and Russia stepping in, and more informal local ceasefire attempts, were only aimed at temporary cessations of hostilities for humanitarian relief to enter or for groups to rearm – limiting any chance of a suspension of violence. Research by the Peace Research Institute Oslo (PRIO) shows in 2016 there were a total of 43 ceasefires, but with each failed attempt violence escalated. In the years since, ceasefire deals decreased as did fighting. In 2020, just three ceasefires were declared. Faysal Itani, once a senior fellow for the Atlantic Council and now director at the New Lines Institute for Strategy and Policy,explainedin 2018 that the main cause of failed ceasefire attempts is the regime’s outlook on the war, namely, the fact that it does not recognise the legitimacy of any opposition that challenges its political monopoly over Syria. Six-Day War Ceasefire (1967):Israel, already occupying parts of Palestinian territory as prescribed by the UN in 1948, captured more — Gaza and the West Bank — as well as the Sinai from Egypt and the Golan Heights from Syria, in a war that lasted just six days. A UN Security Council ceasefire was initially rejected by both Egypt and Syria, but with Israeli forces rapidly expanding forces into their lands, they acquiesced and by the sixth day of conflict all parties accepted a truce. The ceasefire lasted for six years and by that measure, some believe it was a success. But it eventually fell apart after a peace agreement between Israel and neighbouring Arab states failed to agree upon Israel’s security and an end to the occupation of Palestinian lands. Joshi of the University of Notre Dame said the “narrow focus” of the current truce between Israel and Hamas, limited to “a pause in fighting and prisoner swap”, means it is “destined to fail”. If policy areas are left vague or untouched in peace agreements, as has been the case in previous rounds of Israel-Palestine talks, like the Oslo Accords and onwards – then there will always be the need for additional rounds of negotiations to enhance that agreement. “Either that or violence will resume,” Joshi said. “As the deal between Hamas and Israel is likely not to include further talks and monitoring and verification components, it is not likely to stop violence beyond the proposed four-day period,” he added. “It will not be surprising if the deal does fail outright.” Truces that have worked were either a result of final rounds of multiple earlier failed ceasefires, or from a ceasefire negotiated as part of a larger peace process. The inclusion of a verification and monitoring provision can also lead to successful peace deals. “A ceasefire deal will surely go wrong when one or both sides are still determined to defeat the other side militarily at the time of the ceasefire deal,” said Joshi. “There are plenty of examples of such failed ceasefires from Myanmar, the Democratic Republic of Congo, Sudan, etc,” he added. Along with Michael J Quinn, also from the University of Notre Dame, Joshi hasresearched196 ceasefires and peace deals from 1975 – 2011, and found that “over 85 percent of them mostly fail – meaning a resumption of conflict”.",
Iran’s top diplo­mat dis­cuss­es Is­rael’s war in Gaza with Hezbol­lah leader,https://www.aljazeera.com/news/2023/11/23/irans-top-diplomat-discusses-israels-war-in-gaza-with-hezbollah-leader,"Amirabdollahian warns ‘the scope of the war will expand’ if the Israel-Hamas truce does not hold. Iran’s top diplomat has met the leader of the Lebanese armed group Hezbollah in an undisclosed location in Lebanon, discussing efforts to end Israel’s war in Gaza. The meeting of Iran’s Hossein Amirabdollahian and Hezbollah’s Hassan Nasrallah as Israel and Palestinian group Hamas ready for an upcoming four-day humanitarian pause and a deal that is expected to free 50 Israelis held captive in Gaza and 150 Palestinians imprisoned in Israel. The warring sides are stillhammering out the detailsof the Qatar-brokered deal, which Israel says will not take effect “before Friday”. Amirabdollahian, speaking to the Beirut-based Al Mayadeen channel on Wednesday, warned that if the ceasefire does not hold, “the scope of the war will expand”. Amirabdollahian left Beirut for Qatar’s capital Doha after meeting Nasrallah, Iran’s Nour news agency reported.  This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.  Hezbollah, a close ally of Iran, has repeatedly traded deadly cross-border fire with Israel since the start of the Gaza war on October 7, raising fears of a broader conflagration. Hezbollah said on Thursday morning that it fired 48 Katyusha rockets at an Israeli military base at Ein Zeitim, near the town of Safed about 10km (6 miles) from the border. The group said it also carried out at least 10 other attacks on Israeli positions near the frontier, which it claimed had caused casualties. The Israeli army hit several areas in southern Lebanon in retaliation, according to Lebanon’s National News Agency. Hezbollah says it has been acting in support of Hamas since the Palestinian group’s surprise October 7 incursion in southern Israel, which Israeli officials say killed 1,200 people, mostly civilians, and saw about 240 people taken captive. Israel has promised to destroy Hamas and launched a relentless air and ground offensive on the Gaza Strip, killing more than 14,500 people, about 6,000 of them children, according to Gaza’s Ministry of Health. The violence between Israel and Hezbollah has killed at least 108 people in Lebanon, most of them Hezbollah fighters, but also at least 14 civilians, including three journalists, the AFP news agency reported. Six Israeli soldiers and three civilians have been killed on the Israeli side, according to the authorities.  This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. ",
Celtic fined over fans’ sup­port for Pales­tine dur­ing Cham­pi­ons League match,https://www.aljazeera.com/sports/2023/11/23/uefa-fines-celtic-over-palestine-support-israel-gaza-war-fans-defy-ban-pledge-support,"UEFA has fined the Scottish club after its fans waved thousands of Palestinian flags during the match against Atletico Madrid last month. Scotland’s Celtic Football Club has been fined $19,000 after itsfans waved Palestinian flagsduring a Champions League match against Atletico Madrid last month, UEFA has said. The match, which took place at the club’s home ground Celtic Park in Glasgow, saw thousands of fans wave the Palestine flag and display banners supporting the people of Gaza amid Israel’s war on the besieged strip. The governing body of football in Europe deemed the flags to be “provocative messages of an offensive nature” in a statement on Wednesday. Fans, who had been warned by the Scottish club not to display flags before the October 25 game, could be heard singing “You’ll Never Walk Alone” while holding the Palestinian flags in a video shared widely on social media. As kickoff neared, the stadium transformed into a sea of Palestinian flags, every stand awash with the colours of Palestine in a show of solidarity with those in Gaza under Israeli assault. Supporters also unfurled two large banners at Celtic Park that read “Free Palestine” and “Victory to the Resistance”. The main flag bearers, literally and figuratively, werethe Green Brigade– an “ultras” group formed in 2006, renowned for their Irish Republicanism and unflinching support for the Palestinian cause. Fearful of penalties, the club urged fans not to heed the Green Brigade’s call to show support for Palestine at the match, releasing a statement asking “that banners, flags and symbols relating to the conflict and those countries involved in it are not displayed at Celtic Park at this time”. A few days prior to the match, in an apparent warning to the group, Celtic banned the Green Brigade from all away games. Following the display against Atletico Madrid, that ban has been extended to all home games. In a letter to fans, the club outlined several reasons for the ban, including anti-social behaviour, the use of pyrotechnics and crucially “against Atletico Madrid, another unauthorised display, breaching the restrictions previously communicated”. The club was also fined $12,550 for fans blocking passageways and using pyrotechnics.  This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.  For the Green Brigade, there is little doubt that it was the display of solidarity with Palestine which led to a ban on their attendance. “The other issues are a smokescreen,”the Green Brigade told Al Jazeera earlier this month. “The club are very clever and cynical. They want to sanction us, they want to punish us. They want to send us a message to try to keep us in line and deter us from doing further action. “But they know very well that on the issue of Palestine, they’re not on strong ground as they don’t have a lot of support amongst the wider fanbase on that issue. So they’re using other issues that they think they will have support on to sanction us.” The group said they were “unashamed of and unequivocal of our support for Palestine” and insisted that it will continue. “And once again the wider Celtic support showed that they too had the courage and conviction to stand and be counted. To side with the right side of history and voice support for the underdog, which in this case is the Palestinians.”  This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. ",
Is­raeli at­tack kills girl’s par­ents as they wait­ed for Gaza’s truce,https://www.aljazeera.com/program/newsfeed/,Content loading timed out,
How Pales­tini­ans are us­ing art as a form of re­sis­tance against Is­rael,https://www.aljazeera.com/program/the-stream/,Content loading timed out,
Are the Amer­i­cans ready for an­oth­er Iraq?,https://www.aljazeera.com/opinion/,Content loading timed out,
"Is­rael-Hamas war: List of key events, day 48",https://www.aljazeera.com/news/2023/11/23/israel-hamas-war-list-of-key-events-day-48,"From reactions to the Israel-Hamas truce deal to an Israeli attack on southern Lebanon – here are major updates. Here is what to know about the situation on Thursday,November 23, 2023:  This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.   This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.   This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. ",
US war­ship cruis­ing Red Sea shoots down at­tack drones fired from Yemen,https://www.aljazeera.com/news/2023/11/23/us-warship-cruising-red-sea-shoots-down-attack-drones-fired-from-yemen,"US assets in the Middle East have come under increasing threat since the war in Gaza broke out. A US warship cruising the Red Sea has shot down drones fired from Houthi-held territory in Yemen, according to the US Central Command. The USS Thomas Hudner, a guided-missile destroyer, shot down “multiple one-way attack drones” launched on Thursday morning from Yemen’s Houthi-controlled areas, CENTCOM said in a post on X, formerly Twitter. CENTCOM said there was no damage to the US vessel or injuries to its crew.  Yemen’s Houthi rebels have declared themselves part of the “axis of resistance” of Iran’s allies and launched a series of drones and missiles towards Israel since the start of the war in Gaza. On Wednesday, Israel said it had intercepted a “cruise missile” heading for the south of the country, a shot claimed by the Houthi rebels. The spokesperson for the Houthis’ armed wing, Yahya Saree, said such operations would continue “until the Israeli aggression against the Palestinian people in Gaza and the West Bank stops”. The Houthis have also threatened to target Israeli shipping over the country’s war with the Palestinian group Hamas that rules Gaza. On Sunday, the Houthisseizedan Israel-linked cargo vessel with an international crew of 25 at the entrance to the Red Sea. Israel’s military on Sunday said the seizure was a “very grave incident of global consequence”, and a US military official said it was “a flagrant violation of international law”. US assets in the Middle East have also come under fire since the Gaza war erupted on October 7. US forces deployed in Iraq and Syria have been attacked at least 66 times during this time, causing injuries to more than 60 personnel, the Pentagon has said. On Wednesday, the USannouncedits first significant retaliatory strikes on Iran-backed armed groups targeting it in Iraq, striking several positions of the Kataib Hezbollah militia, also known as Hezbollah Brigades, south of Bagdad, killing at least eight fighters. Iraq’s government condemned the assault as an “unacceptable violation of Iraqi sovereignty”, saying the US had not coordinated with it in advance.",
Ex-Oba­ma ad­vis­er Stu­art Sel­dowitz ar­rest­ed af­ter Is­lam­o­pho­bic rant,https://www.aljazeera.com/news/2023/11/23/ex-obama-adviser-stuart-seldowitz-arrested-after-islamophobic-rant,"The former State Department official was filmed harassing a Muslim street vendor in New York, saying more Palestinian children should be killed in Gaza. A former high-ranking US government official has been arrested after being captured on video calling a halal food vendor in New York City a“terrorist”and saying the death of 4,000 Palestinian children in Gaza “wasn’t enough”. Stuart Seldowitz, 64, who previously served as deputy director of the US State Department’s Office of Israel and Palestinian Affairs, was arrested on Wednesday on charges of aggravated harassment, hate crime stalking, stalking causing fear, and stalking at a place of employment, New York police said in a statement. “A 24-year-old male victim stated to police that an individual approached him at his work place multiple times and made anti-Islamic statements multiple times on different dates causing the victim to feel afraid and annoyed,” police said. Video went viral this month of multiple arguments over Israel’s war on Gaza between Seldowitz and an Egyptian man working in a halal cart in Manhattan. “If we killed 4,000 Palestinian kids, it wasn’t enough,” Seldowitz says in one exchange captured on video and posted on the social media platform X. The vendor is seen telling Seldowitz to “go, go, go, go” and “I won’t hear it”. Seldowitz then responds: “But you’re a terrorist. You support terrorism.”  In other exchanges, Seldowitz is heard casting slurs against Prophet Muhammad, and calling the vendor “ignorant” for his lack of fluency in English. Seldowitz also threatens to use his government connections to mobilise Egypt’s secret police against the vendor. “The Mukhabarat [the intelligence agency] in Egypt will get your parents. Does your father like his fingernails? They’ll take them out one by one,” he says smiling. Seldowitz served as the acting director for the National Security Council South Asia Directorate under the former President Barack Obama administration. He also worked as a senior political officer in the State Department’s Office of Israel and Palestinian Affairs. Seldowitz told local television news before his detention on Wednesday that the video posted on social media failed to tell the whole story and that he became upset after the man expressed sympathies for the Palestinian group Hamas – although none of the videos shows the vendor mentioning the group that rules Gaza. “The comments that went beyond him [the vendor], and could be interpreted as attacks on Muslims and Arab-Americans and so on, were probably not appropriate,” he told WNBC television. “The comments I made calling him out for his support of terrorism – those I think were appropriate.” After Seldowitz’s actions went viral, New Yorkers rallied to support the vendor, lining up to buy chicken and rice at the food cart in Manhattan’s Upper East Side neighbourhood on Tuesday. The Street Vendor Project, which works with the thousands of food carts in New York, described a “moving scene” with New Yorkers from “all walks of life coming together” and “taking a stand against anti-Muslim hate”.  On October 7, Hamas launched an attack in Israel that killed 1,200 people. Israel has since bombarded the Gaza Strip, killing more than 14,500 Palestinians. In the US, the war has prompted a surge in anti-Semitism and Islamophobia and fuelled frequent street protests in support of both Israel and Palestine. Asked about the incident by the Reuters news agency, US State Department spokesperson Matthew Miller said: “The United States unequivocally opposes racist or discriminatory language of any form.”  This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. ",
"Is­raeli army ar­rests al-Shi­fa Hos­pi­tal di­rec­tor, oth­er doc­tors in Gaza",https://www.aljazeera.com/news/2023/11/23/al-shifa-hospital-director-arrested-by-israeli-army-in-gaza,"Director Muhammad Abu Salmiya and several other medical personnel detained as Israel continues its Gaza offensive. The Israeli army has arrested the director of al-Shifa Hospital, the largest medical complex in the Gaza Strip, according to a doctor and media reports. Muhammad Abu Salmiya was arrested along with several other “senior doctors”, Khalid Abu Samra, a department chief at the hospital, told the AFP news agency on Thursday. The arrest was also reported by the Israeli Broadcasting Authority, and was confirmed in a post on the social media platform X by Salmiya’scousin, Adham Abu Selmiya. Gaza’s ministry of health said it wants an explanation from the World Health Organization, as medics were travelling in a WHO convoy with patients when they were stopped and detained by Israeli forces. “The World Health Organization has not yet sent us any report to explain the situation including the numbers and names of those detained,” said Ashraf al-Qudra, a spokesperson for the health ministry. “The inability to contact al-Shifa means we don’t know who has bee arrested … There’s a chance some of those detainees will be killed. We know the occupation forces are capable of that.” He said the ministry has decided to stop coordination with the WHO regarding evacuations until they send them a report explaining what happened.  This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.  In a statement, Hamas said it “strongly denounces” the arrest of Salmiya and his colleagues, calling on the International Committee of the Red Cross and other international organisations to work towards their “immediate release”. Days before the arrests, “two Palestinian paramedics had been arrested by the Israeli occupation forces”, said Al Jazeera’s Tareq Abu Azzoum, reporting from southern Gaza on Thursday. “This gives a clear sign that there is no immunity inside the Gaza Strip, neither for medical workers, civil defence crews or even journalists, as the attacks have reached all classes in the Palestinian community.” Al-Shifa Hospital has been amajor focusof Israel’s ground offensive in northern Gaza. The army ordered anevacuationof the facility on Saturday, but the handful of staff remaining there say there are about 180 patients still inside. The Israeli army, which raided the hospital last week, allege that Hamas fighters used a tunnel complex beneath the facility in Gaza City to stage attacks. Hamas and hospital officials have repeatedly denied the claims. Meanwhile on Thursday, Munir al-Bursh, the director-general of Gaza’s Health Ministry, said the Israeli army gave people in the Indonesian Hospital just hours to evacuate the facility in northern Gaza. He said there are about 200 patients left at the hospital after some 450 patients were evacuated yesterday, and he told Al Jazeera that bombing continues from all sides in the vicinity. “This hospital is considered to be the main central hospital that is still operating in the north of the Gaza Strip, alongside another two central hospitals,” Al Jazeera’s Abu Azzoum said, adding that there are patients, medical workers and displaced people inside. “Both hospitals [al-Shifa and the Indonesian hospital] are witnessing a very serious and even critical condition as the Israeli troops are still encircling and even exerting significant control,” our correspondent said. On Wednesday, the UN’s humanitarian office said the Israeli army “obstructed” a convoy of ambulances transporting 190 wounded and sick patients from al-Shifa Hospital to the south, resulting in the journey taking almost 20 hours. The lengthy delay at the Israeli military checkpoint dividing north and south Gaza put “the lives of the wounded and sick people in danger”, according to the Palestine Red Crescent Society (PRCS). The medical service has earlier said that 14 of its ambulances, two UN buses and other vehicles were involved in the evacuation of the patients, as well as “a number of medical teams” from al-Shifa Hospital. The PRCS said three paramedics and a companion of one of the wounded patients were detained for more than three hours in the cold, while the patients were transferred to hospitals in the south.  This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. ",
