title,url,body,date
Pales­tini­ans de­mand end to Is­rael’s un­re­lent­ing Gaza on­slaught,https://www.aljazeera.com/news/liveblog/2023/12/8/israel-hamas-war-live-palestinians-demand-end-to-israels-gaza-onslaught,"At least five Palestinians have been shot dead by Israeli forces in a raid on the Far’a refugee camp in occupied West Bank, according to the Palestinian health ministry. Overnight and early this morning, raids have been reported in several areas across the occupied Palestinian territory: Bloomberg News is reporting that the Palestinian Authority is working with US officials on a plan to run Gaza once the war is over. The preferred outcome of the conflict would be for Hamas to become a junior partner under the Palestinian Liberation Organization (PLO), helping to build a new independent state that includes the occupied West Bank, Gaza and East Jerusalem, the report said, citing Palestinian PM Shtayyeh. “If they [Hamas] are ready to come to an agreement and accept the political platform of the PLO, then there will be room for talk. Palestinians should not be divided,” he said, adding that Israel’s aim to fully defeat Hamas is unrealistic. The HuffPost has reported that US officials are concerned that Israel is looking to secure US weapons for a war inLebanon. “This is a pivotal moment in history, and we should feel angry about how Netanyahu has literally put our reputation on fire to advance his personal political agenda. The collateral effects to American security are extremely consequential,” the news website quoted a State Department official as saying, Al Jazeera’s Hani Mahmoud, reporting from Rafah in the Gaza Strip, said that dozens of men taken from UN-affiliated schools in northern Gaza on Thursday were rounded up under “heavy gunfire” with snipers also positioned around the school. “Those men were ordered to leave the school and then they were blindfolded. They were stripped of their clothes, and there were signs of beatings and torture as we’ve seen in one of the videos and the pictures circulating,” he said. Footage aired by Israeli media showed at least 100 Palestinian men sitting in their underwear on the street in Jabalia before being taken to an unknown location. Among the men were doctors, academics, journalists and the elderly, according to the Geneva-based Euro-Mediterranean Human Rights Monitor. We are getting reports of casualties in Far’a refugee camp near Tubas, northeast of Nablus, in the occupied West Bank, following an Israeli raid. At least three people have been killed and three others were wounded, medical sources told Al Jazeera. Videos from earlier this morning show Israeli forces entering the site with tanks while sounds of explosions could be heard across the camp. We will add more information as we get it. Al Jazeera spoke to experts on the challenges the Israeli army would face if they entered the sophisticated, sprawling network oftunnelsunder the Gaza Strip. Fighting in the narrow tunnels would be a risky move for the Israelis, who would be without the aerial support they rely on overground. However, some believe that a politically embattled Netanyahu may still choose to engage Hamas in the tunnels to fulfil his ambitions of eradicating the group. Read the full articlehere. Israeli forces struck a number of areas across the Gaza Strip earlier today, including in the Jabalia refugee camp, northern Gaza. Additionally, an Israeli air attack on a house in Nuseirat refugee camp, central Gaza, killed five people. Israel’s National Security MinisterItamar Ben-Gvirhas ordered the country’s prison service commissioner to reopen an underground prison wing to hold jailed members of Hamas’s armed wing, the Qassam Brigades. The Times of Israel, citing Hebrew media, reported that the wing was part of the Nitzan prison in central Israel and is reported to have been unused for years. Ben-Gvir also wrote to Israel’s police commissioner describing the conditions in the underground wing as “not among the best”, but that the conditions “comply with the provisions of the law and the relevant regulations, and it has housed prisoners in the past”. The Israeli government is “trying to do as much destruction as they can” in order to drive people out of Gaza, according to Ahmed Bedier, president of civil society group United Voices for America. “They initially had this plan to force people out intoEgypt and the Sinai, but that’s not happening. So, to try to get people to leave in different ways and cause as much destruction to the infrastructure as possible, infrastructure that sustains life, we saw simultaneous attacks on hospitals, food and schools,” he told Al Jazeera. Bedier also criticised the US’s role in emboldening Netanyahu, saying they’ve put themselves “in a difficult situation”. “The Biden administration at the beginning of this gave full support, full throttle support for the Netanyahu government, what they’re doing, and now they’re trying to rein it in,” he said. “In a way, they enabled a monster and they can’t pull them back.” GazaKilled: 17,177Wounded: 46,000 Occupied West BankKilled: 266Wounded: 3,365 IsraelKilled in Oct 7 attack: 1,147 (revised from 1,400)Wounded: 8,730Soldiers killed since Oct 7: 418 *Figures as reported by Palestinian health ministry and Israeli army   ",Published On 8 Dec 2023
UNICEF: Lack of ba­sic ne­ces­si­ties threat­en­ing lives of thou­sands in Gaza,https://www.aljazeera.com/program/newsfeed/,Content loading timed out,
Is Is­rael’s Gaza War the most de­struc­tive yet with con­ven­tion­al weapons?,https://www.aljazeera.com/program/inside-story/,Content loading timed out,
US tar­gets Houthi fund­ing net­work fol­low­ing at­tacks on com­mer­cial ships,https://www.aljazeera.com/news/2023/12/7/us-targets-houthi-funding-network-following-attacks-on-commercial-ships,"US slaps sanctions on 13 people and entities allegedly involved in efforts to direct funds to the Iran-backed group. The United States has announced sanctions targeting an Iran-backed network for allegedly providing funding for Yemen’sHouthi rebel groupthrough Iranian commodity sales. In a statement on Thursday, the US Department of the Treasury said that it was designating 13 people and entities allegedly involved in efforts to funnel tens of millions of dollars to the Houthis. “The Houthis continue to receive funding and support from Iran, and the result is unsurprising: unprovoked attacks on civilian infrastructure and commercial shipping, disrupting maritime security and threatening international commercial trade,” Treasury Undersecretary for Terrorism and Financial Intelligence Brian Nelson said in a statement. The announcement comes as the Houthis, an Iran-backed group that has expanded its influence in Yemen during a protracted civil war, have carried out aseries of raidson commercial ships in the region and launched missile and drone attacks on Israel.  This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.  The Houthis have said thatthose attacksare in response to Israel’s assault on Gaza, where it is fighting the Palestinian armed group Hamas. The Treasury statement says that the network is backed by Iran’s Islamic Revolutionary Guard Corps (IRGC), a branch of Iran’s armed forces that carries out clandestine activities, and includes a series of exchange firms in countries including Yemen, Turkey, and St Kitts and Nevis. The department says that Sa’id al-Jamal, previously sanctioned for alleged activities as a Houthi and Iranian financial facilitator, uses the network of exchange firms to direct funds to the Houthis. Money lenders in Lebanon and Dubai are also listed. “Treasury will continue to disrupt the financial facilitation and procurement networks that enable these destabilizing activities,” the statement reads.",Published On 7 Dec 2023
Pho­tos: Death and dev­as­ta­tion in Gaza af­ter two months of Is­rael-Hamas war,https://www.aljazeera.com/gallery/2023/12/7/photos-death-and-devastation-in-gaza-after-two-months-of-israel-hamas-war,"In Pictures Gaza has been ravaged by more than two months of relentless Israeli bombardment that has levelled entire neighbourhoods and delivered death and destruction to the enclave’s 2.3 million residents. Hospitals, schools and refugee camps have been targeted, with United Nations personnel and facilities also attacked by Israel at unprecedented rates. More than 17,000 people have been killed in the Israeli assault, according to Palestinian authorities, including more than 7,000 children. Hundreds of thousands of others have been displaced within the Gaza Strip and more than 46,000 people in Gaza have been injured since then. Less than 1 percent of wounded people have been evacuated via the Rafah Crossing to Egypt for treatment, Gaza health ministry spokesperson Ashraf al-Qidra said on Thursday. A week-long truce between Israel and Hamas was brokered by Qatar and other mediators to allow the release of captives taken by Hamas during its attack on southern Israel on October 7, which killed more than 1,200 people, according to Israeli authorities. In exchange, Israel released hundreds of Palestinian prisoners. The truce collapsed on December 1 and fighting has resumed since.",Published On 7 Dec 2023
Iran’s Raisi says ‘geno­cide’ un­fold­ing in Gaza as he meets Rus­sia’s Putin,https://www.aljazeera.com/news/2023/12/7/irans-raisi-says-genocide-under-way-in-gaza-as-he-meets-russias-putin,"Putin hosts Raisi as part of a blitz round of Middle East diplomacy after visits to the UAE and Saudi Arabia. Iranian President Ebrahim Raisi has condemned Israel’s assault on Gaza as he met Russian President Vladimir Putin for talks in Moscow. Putin hosted Raisi on Thursday as part of a blitz round of Middle East diplomacy that also included visits to United Arab Emirates and Saudi Arabia in efforts to raise Moscow’s profile as a power broker in the region. Putin has cast the Israel-Hamas war in Gaza as a failure of US diplomacy and suggested Moscow could be a mediator in the decades-long Israeli-Palestinian conflict. Greeting Raisi at the Kremlin, Putin said it was important to discuss the situation in the Middle East, especially in the Palestinian territories. Raisi responded via a translator: “What is happening in Palestine and Gaza is, of course, genocide and a crime against humanity.” “It’s not just a regional issue, it’s an issue for the entire humankind,” he told Putin, adding that “it’s necessary to find a quick solution.” Iran backs the Palestinian group Hamas, which governs the Gaza Strip. Russia has relations with all the key players in the Middle East including Hamas and Israel, the latter of which it angered by hosting a Hamas delegation in Moscow in October. Some analysts have said the Gaza conflict has benefitted Russia by distracting world attention from the war in Ukraine and enabling Moscow to align itself with other developing countries in solidarity with the Palestinians. On Wednesday, Russian President Vladimir Putin made a rare one-day lightning tour to the Middle East during which he visited Saudi Arabia after a short trip to the United Arab Emirates. Putin’s trip to the region is his first since July 2022, when he met Supreme Leader Ayatollah Ali Khamenei in Iran. The Russian leader has made few international trips after the International Criminal Court (ICC)issued an arrest warrant for himin March, accusing him of deporting Ukrainian children. Like North Korea, whose leader Kim Jong Un held a summit with Putin in Russia’s far east in September, Iran is an avowed enemy of the United States and has the capacity to provide Moscow with military hardware for its war in Ukraine, where Russia has made extensive use of Iranian drones. The US has voiced strong concern about the growingmilitary cooperationbetween Moscow and Tehran and warned that Iran may be preparing to provide Russia with advanced ballistic missiles for use in the war in Ukraine. The Kremlin last month said Russia and Iran were developing their relations, “including in the field of military-technical cooperation”, but declined to comment on the issue.  This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. This is a modal window. This modal can be closed by pressing the Escape key or activating the close button. ",Published On 7 Dec 2023
Hol­ly­wood’s Is­rael prob­lem,https://www.aljazeera.com/opinion/,Content loading timed out,
"‘If Christ were born to­day, he would be born un­der rub­ble, Is­raeli bomb­ing’",https://www.aljazeera.com/news/2023/12/7/if-christ-were-born-today-he-would-be-born-under-rubble-israeli-bombing,"All the Palestinian churches have cancelled Christmas festivities this year, and one church in Bethlehem shares its pain through iconography. Bethlehem, occupied West Bank– The churches of Palestine have announced the cancellation of all festive Christmas celebrations in an expression of unity with Gaza and rejection of the ongoing aggression against Palestinians, limiting them to masses and prayers. In Bethlehem, the Lutheran Church decided that its Christmas nativity scene would reflect the reality of children living and being born in Palestine today, placing the symbolic Baby Jesus in a manger of rubble and destruction. It is a poignant representation of the suffering of Gaza’s children who find themselves buried under what is left of their own homes, victims of relentless Israeli bombardment. “If Christ were to be born today,” Reverend Munther Isaac said, “he would be born under the rubble and Israeli shelling. “This is a powerful message we send to the world celebrating the holidays.” For Isaac and other church leaders, this was a way to convey a message reflecting the birth of Christ, the messenger of justice, peace and dignity for humanity. Christ was not born among the conquerors or those with military power, he said, but in an occupied country, which is what Palestine was 2,000 years ago. “Bethlehem is sad and broken. We are all in pain about what is happening in Gaza, feeling helpless and overwhelmed by our inability to offer anything,” he said. Um Bishara, a mother of four, told Al Jazeera she was surprised to see the nativity scene with Baby Jesus in the rubble on Sunday. Weeping, she had to sit down as the significance of the display hit her and dedicated her fervent prayers to the children of Gaza, praying that they find peace and safety. A devout woman, Um Bishara hopes the prayers of the Holy Land’s faithful at Christmas can stop the pain and killing, replacing them with hope and peace. Two weeks ago, Isaac delivered a letter from the churches of Bethlehem, a city of significant religious importance, to the US administration in Washington, DC. The letter urged US President Biden, the US Congress and heads of US churches to apply Christ’s message rejecting injustice and called for an end to the genocidal war in Gaza. “Some people in the West forget the existence of Palestinian Christians. This war affects everything Palestinian, whether Muslim or Christian. It is our responsibility now to raise our voices as a nation to stop this war,” Isaac said. Continuing, he explained how saddened he was by several conversations he had in the US where he was told that Israel’s assault on Gaza was justified as self-defence. However, he added, the thousands of children and innocents killed daily, and the churches and hospitals being bombed do not figure in their calculus. He knows the struggle to bring about change will be long because the Palestinian struggle is not only this war but a deeper struggle to affirm the legitimacy of Palestinian existence. Anton Nassar, principal of the Dar Al-Kalima Lutheran School, said Bethlehem is sad and in pain this year but it has not lost hope. He explained that while the nativity scene represents the reality of Palestinian lives, it also reflects hope as the infant Jesus is born in the rubble, a new light amidst pain. He said, “We believe in the existence of hope and the hope of the birth of Jesus in the city of peace, the holy city. “This is what is reflected in this painting placed in the church where we pray for a just peace in our country. We pray for an immediate cessation of the genocidal war on Gaza and for the people of Gaza to enjoy a peace built on justice.” “Christmas is in the heart,” Nassar said. “We pray and invoke Jesus to be born again in our lives, our country, our churches, and our schools so that we can live in peace and stability and achieve our independent state with its capital, Jerusalem.”",Published On 7 Dec 2023
Are Is­rael’s at­tempts to de­mor­alise the Pales­tini­ans back­fir­ing?,https://www.aljazeera.com/program/the-bottom-line/,Content loading timed out,
"How are Har­vard, Penn pres­i­dents re­spond­ing to cam­pus anti-Semi­tism row?",https://www.aljazeera.com/news/2023/12/7/how-are-harvard-penn-presidents-responding-to-campus-anti-semitism-row,"Harvard’s Claudine Gay and Elizabeth Magill at Penn released statements a day after their heated Congress hearing. The presidents ofHarvard Universityand the University of Pennsylvania (Penn) are responding to a backlash against their testimonies on campus anti-Semitism at the United States Congress. In a five-hour hearing on Monday, Harvard’s Claudine Gay and Penn’s Elizabeth Magill, joined by Massachusetts Institute of Technology (MIT) President Sally Kornbluth, testified on how their colleges are combatingcampus anti-Semitism– which observers say has been onthe risesince Hamas’s October 7 attack. The testimonies have made the presidents – particularly Gay and Magill – targets of criticism from supporters of Israel and Palestine alike, with some even calling for resignations or legal action. House members contested that under the guise of free speech protections guaranteed under the First Amendment of the US Constitution, anti-Semitic comments and behaviour have been enabled within their college communities. Meanwhile, pro-Palestinian students have pushed back, saying that calls for Palestinian liberation shouldnot be conflatedwith anti-Semitism. In a statement posted to X hours Wednesday night, Gay said that commitments to free expression do not entail condoning calls for violence or genocide. She added that “those who threaten our Jewish students will be held to account”. Gay had also mentioned at the hearing that disciplinary action was under way against people who were possibly violating the university code of conduct – although the details of the cases and their political leanings were not shared.  In a video statement posted to X on Thursday morning, Magill promised to review Penn’s code of conduct after declining to say whether advocating genocide was a violation at the hearing. Magill said that at the time of the hearing, she was focused on longstanding values of free speech but that calls for genocide against Jewish people are “evil” and “threatening”. Magill said that she will convene with the university’s provost to re-evaluate the code of conduct in light of how solidarity groups and campus members have been addressing the Israel-Gaza war.  Gay and Magill’s statements have been labelled as too little, too late by some, who questioned why they did not clearly state these values at the Congress hearing. Students and alumni have also been calling on the two to resign, while a lawsuit has also been filed against Penn. An online petition that was launched prior to Magill’s statement and has more than 8,000 signatures, demands that Penn’s Board of Trustees force Magill to resign due to her “inability to unequivocally condemn calls for the genocide of Jewish students and inability to identify these as harassment”. Pennsylvania Governor Josh Shapiro, a nonvoting member of Penn’s Board of Trustees, also told reporters on Wednesday that the board would have a “serious decision” to make regarding Magill’sstatements. “They have seemingly failed every step of the way to take concrete action to make sure all students feel safe on campus,” said Shapiro. “And then the testimony yesterday took it to the next level.” On Tuesday, two Penn students also filed a federal lawsuit against the university accusing it of violating Title VI of the Civil Rights Act and specific employees, including Magill, of being “responsible for the anti-Semitic abuse permeating the school”. Late on Wednesday, Harvard University’s Palestine Solidarity Committee released a joint statement with Penn’s Students Against Occupation and several other Jewish groups. The response said that the hearing distracted from the genocide in Gaza, and “real manifestations of anti-Jewish hatred” that the groups “vehemently oppose”, while alsojustifying anti-Palestinianracism. Pfizer CEO, Albert Bourla said he was “ashamed” to hear the testimonies in a post on X on Wednesday.    A post shared by Palestine Solidarity Committee (@harvardpsc) ",Published On 7 Dec 2023
